127.0.0.1, 2013-01-19 09:32:39, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.049000
127.0.0.1, 2013-01-19 09:32:40, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:33:35, GET, /admin/default/design/sms_chimp, HTTP/1.1, 500, 0.135000
127.0.0.1, 2013-01-19 09:33:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:33:40, GET, /admin, HTTP/1.1, 303, 0.012000
127.0.0.1, 2013-01-19 09:33:40, GET, /admin/default/site, HTTP/1.1, 200, 0.086000
127.0.0.1, 2013-01-19 09:33:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:33:41, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.592000
127.0.0.1, 2013-01-19 09:33:43, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.267000
127.0.0.1, 2013-01-19 09:33:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:38:43, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2013-01-19 09:38:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2013-01-19 09:39:04, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.081000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 09:39:06, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:06, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:06, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:06, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-01-19 09:39:06, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 22:31:09, GET, /, HTTP/1.1, 303, 0.008000
127.0.0.1, 2013-01-20 22:31:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.760000
127.0.0.1, 2013-01-20 22:31:18, GET, /admin/default/index, HTTP/1.1, 200, 0.487000
127.0.0.1, 2013-01-20 22:31:18, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-20 22:31:23, POST, /admin/default/index, HTTP/1.1, 303, 0.111000
127.0.0.1, 2013-01-20 22:31:23, GET, /admin/default/site, HTTP/1.1, 200, 0.104000
127.0.0.1, 2013-01-20 22:31:24, GET, /favicon.ico, HTTP/1.1, 400, 0.005000
127.0.0.1, 2013-01-20 22:31:25, POST, /admin/default/check_version, HTTP/1.1, 200, 1.241000
127.0.0.1, 2013-01-20 22:31:27, GET, /admin/default/twitter.load, HTTP/1.1, 200, 3.620000
127.0.0.1, 2013-01-20 22:31:39, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.430000
127.0.0.1, 2013-01-20 22:31:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 22:31:49, GET, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.108000
127.0.0.1, 2013-01-20 22:31:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 22:31:59, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.305000
127.0.0.1, 2013-01-20 22:32:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 22:32:06, GET, /admin/default/peek/welcome/views/webrtc_.html, HTTP/1.1, 200, 0.070000
127.0.0.1, 2013-01-20 22:32:06, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-20 22:32:09, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.279000
127.0.0.1, 2013-01-20 22:32:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 22:32:11, GET, /admin/default/peek/welcome/views/webrtc/index.html, HTTP/1.1, 200, 0.058000
127.0.0.1, 2013-01-20 22:32:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-20 22:32:14, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.310000
127.0.0.1, 2013-01-20 22:32:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 22:32:17, GET, /admin/default/edit/welcome/views/webrtc/index.html, HTTP/1.1, 200, 0.084000
127.0.0.1, 2013-01-20 22:32:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 22:32:58, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.278000
127.0.0.1, 2013-01-20 22:32:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 22:33:08, GET, /admin/default/edit/welcome/views/webrtc/index.html, HTTP/1.1, 200, 0.096000
